question_marathi,option_a,option_b,option_c,option_d,subject,exam_type
संत दामलुजाचार्य यांचा 818106 ० €५००॥४/ (समतेचा पुतळा ) कोठे उभारण्यात आला आहे ?,50 अहमदाबाद,अलाहाबाद,हैद्राबाद,विशाखापट्टनम,math,police_bharti
४25 8) 28ात जटा ४125),उप. म. ऱ्य,जर शा? - छा * 7 या बहुपदीची किंमत (“1 असताना 10 असेल तर 8 ची किंमत काढा उ,3,20) 5 शर्व,math,police_bharti
» आणि 8 चे सध्याचे बय क्रमश: 30 वर्षे आणि 16 वर्षे आहे. किती वर्षांनंतर & चे वय 8 च्या,वयाहून दुप्पट होईल .,1 वर्ष,2 वर्ष,3 वर्ष4 वर्ष,gk,police_bharti
दोन संख्याची बेरीज 103 आहे. जर मोठया संख्येला लहान संख्येने भागले तर भागाकार 2 येतो ब,वाकी 19 उरते तर त्या संख्या शोधा,75व28,73व30 074व29,यापैकी नाही,math,police_bharti
एक चाक 88 किमी अंत कापायला 1000 चक्कर लावते . तर चाकाची त्रिज्या किती आहे.,7 मीटर,12 मीटर,14 मीटर,20 मीटर,math,police_bharti
मराठी भाषा लेखनासाठी ......... लिपीचा वापर करतात.,/£.) देवनागरी,ब्रह्मी,सकळा,सुंदरा,marathi,police_bharti
गाळलेला शब्द भरा.,अब्ययालाच म्हणतात.,विकारी शब्द,पद,अविकारी शब्दविकृती.,marathi,police_bharti
शहाणा - शहाणपणा हे कोणत्या प्रकारचे नाम आहे ?,4») भाववाचक नाम,विशेष नाम,समुदाय वाचक नाम,सामान्य नाम,marathi,police_bharti
'कवी' या शब्दाचे स्त्रीलिंगी रूप पुढीलपैकी कोणत्या पद्धतीने होते ?,कवी,कवियत्री,कवयित्री,काव्यकत्री,marathi,police_bharti
'देव' या शब्दाचे अनेक वचन पुढीलपैकी कोणते ?,देवा,देव्या,देवी,देव,marathi,police_bharti
वाक्यात येणाऱ्या प्रत्येक शब्दाची व्याकरण विषयक संपूर्ण माहिती सांगता येणे याला काय,रं,उपपद विभक्ती,उपपदार्थ,अधिकरणपदपरिस्फोट.,marathi,police_bharti
' लोकांनी आपण होऊन श्रमदान केले ' यो.वाक्यातील आपण या सर्वनामाचा प्रकार ओळखा.,अनुसंबंधी सर्वनाम,आत्मवाचक सर्वनाम,दर्शक सर्वनाम,सर्वनामोत्यन्न सर्वनाम.,marathi,police_bharti
अक्षय ला वारा भाषा येतात या वाक्यातील अधोरेखित शब्दाची जात ....,नाम,विशेषण,धातुसाधित,क्रियाविशेषण,marathi,police_bharti
खालीलपैकी कोणता शब्द विशेषण नाही ते ओळखा ?,गोड,कडू,दहा,मी चे 95धातू म्हणजेशब्दाचे सामान्य रूपशब्दयोगी अव्ययाचा प्रकार,marathi,police_bharti
त्रिशंकू म्हणजे ----,भि 4“) सहज साध्य,त्रिशतक,अधांतरी,यापैकी नाही.,marathi,police_bharti
कटलॅड 9)बॅरन आयलंड ()बारातांग 1))उत्र अंदमान,३० । महाराष्ट्राचे राज्य फुलपाखरु कोणते? ब्र “ब्ल्यु मॉरमॉन,ब्ल्यु मॉर्फो,"मोनार्क बर्टरेफ्लायेश)) ३६ ॥ ०८%, ठार, ज00,?",5110$7४/91४5' डर या शब्दाचा समानार्थी शब्द,marathi,police_bharti
२२५ 80६२५ ९)४४१ 0) ७४१ प,४७ । * हुशार मुलांना गर्व असतो? या वाक्यातील विशेषण ओळखा? च द. 4&)हुशार,मुलांना,गर्व,असतो दे ४८ । मी मनात एक संख्या धरली तिच्यात १५ मिळविले व आलेल्या बेरजेस इ येम संख्या कोणती? र र,marathi,police_bharti
४५ )४८ ९)५० 0)५१,केंद्रीय मंत्रीमंडळ हे ...याना जबाबदार असते?,लोकसभा राष्ट्रपती,विभानसभा,"यापैकी नाही घ्प २८० ,केच्शे,धॅन८, प १५,६८१?",gk,police_bharti
फेसबुक (इन्स्टाग्राम 10)यापैकी नाही,र सत्याचे प्रयोग या पुस्तकाचे लेखक कोण? 4महात्मा जोतीबा फुले,महात्मा गांधी,साने गुरुजी,यापैकी नाही जट कसभा खासदार होण्यासाठी किमान वय किती असावे?,marathi,police_bharti
१८ वर्ष 8)३५ वर्ष ९)२१ वर्ष 1)२५ वर्ष,घोडे बांधण्याच्या जागेस काय म्हणतात?,पागा,गोठा (गोशाला,यापैकी नाही ष्ट्रीय काँग्रेसची स्थापना कोणत्या वर्षी झाली?,marathi,police_bharti
गुगल मॅप 9)इ मेल ९),२ । म्रारत: रुपया: : जपान :? 4&)येन,डॉलर,पौड,यापै ९३ ज्याला मुळीच लिहीता/बवाचता ये,gk,police_bharti
0) व) 1) छा) व 1७),त्याच्या रुंदीच्या तिपटीपेक्षा 2 से.मी. ने जास्त आहे. त्या आयताची परिमिती 76,व),1) व,(१५) एका आयताची लांबी ही त से.मी.असल्यास त्याची लांबी किती २27 से.मी.29 से.मी.9 सेमी.11 से.मी.,math,police_bharti
"एका मोबाईलची किंमत 16,000 रूपये आहे. असे 13 मोबाईल खरेदी केले तर एकूण किती रूपये",लागतील ?,"1,04,000 रूपये","1,08,000 ख्पये","2,08,000 ख्पये2,04,000 ख्प्ये",math,police_bharti
एका शेताची खुरपणी पुर्ण करण्यास 5 मजुरांना 12 दिवस लागतात. तर्‌ 6 मजुरांना किती दिवस लागटं,8 दिवस,6 दिवस,10 दिवस,4 दिवस,math,police_bharti
"पाण्याला निळे म्हटले, निळयाला काळे म्हटले, काळयाला लाल म्हटले, लालला पिवळे म्हटले, पिवळयाला","र हिरवे म्हटले हिरव्याला पांढरे म्हटले, पांढ-याला जांभळे म्हटले, तर दुधाचा रंग कोणता? “0 हिरवा",पांढरा,पिवळा,जांभळा,math,police_bharti
20 (90) 25,16 (100) 34 57,13 क /0 110,100,150,gk,police_bharti
खालील पैकी कोणते भाववाचक नाम नाही ?,नगरे,चांगुलपणा,गुलामगिरी,ता,marathi,police_bharti
राजा घोडयावर बसून निघाला. या वाक्यातील अ लि चेडे,घोडी,घोडया,े,घोडाघो प,marathi,police_bharti
खालीलपैकी कोणते सर्वनाम हे पुरूषवाचनी सर्वनाम नाही,जो,तु,मी,तुम्हीफ्क्तड,marathi,police_bharti
खालीलपैकी अकर्मक कियापद असणारे वाक्य कोणते ?,१ पिंटु खेळताना पडला,गाय दूध देते.,"सुहास लाडू, खातो",आजीने मली गोष्ट सांगितली.फकत अ फक्त९)क)10)व,marathi,police_bharti
खालीलपैकी कोणते तत्पुरूष समासाचे उदाहरण नाही,चोरभय,तोंडपाठ,घरजावई,पापपुण्य,marathi,police_bharti
' साबुदाणा ' हा शब्द कोणत्या भाषेतून आला आहे ?,पोर्तुगीज,फारसी,अरबी,गुजराती,marathi,police_bharti
खालीलपैकी कोणता शब्द उपसर्गघटीत नाही,4&) आमरण,वंदनीय,सुभाषित,हररोज,marathi,police_bharti
सिंहगड 8) प्रतापगड 0) सुवर्णदुर्ग 9) शिवनेरी,_,रत्नागिरी जिल्हयातील खालीलपैकी प्रेक्षनीय स्थळ ओळखा 5”) माचाळ,आंबोली घाट,पन्हाळामुरुड बीच,gk,police_bharti
भारतात होणारे पर्जन्यमान प्रामुख्याने कोणत्या वाऱ्यांमुळे होते?,नैत्रहत्य मोसमी वारे,आम्नेय मोसमी वारे,पूर्वी वारे,उत्तरीय वारे ?3६€ 1 0 13 (ह इत्वाा€त एप 01(टाए इट्बश,reasoning,police_bharti
सन 2023 ची जी-20 शिखर परिषद कोणत्या देशात होत आहे?,अमेरिका,ब्रिटन,कॅनडा,भारत,gk,police_bharti
इंटरपोल या आंतरराष्ट्रीय पोलीस संस्थेचे मुख्यालय कोणत्या शहरात आहे?,न्युयॉर्क,ओटावा,मेलबर्न,लियॉन,gk,police_bharti
कोविड-19 या साथ रोगाची सुरुवात कोणत्या शहरातून झाली असे मानले जाते?,8”) थिंफू,बिजिंग,वुहान,शांघाय,gk,police_bharti
मार्च २०२३ मध्ये अमेरिकेतील कोणती बॅक आर्थीक संकटात सापडली आहे?,4”) एस.एम.बी.,एस.टी.बी.,एस.डी.बी.,एस.व्ही.बी. 28६८2 ० 13 [७ - 5टभ01€0 एपी 01९६1 $टभाशा,gk,police_bharti
डॉ. बाबासाहेब आंबेडकर यांचे मुळ गाव कोणते?,4”) आंबेड,आंबेडे,आंबवडे,आंबडवे,gk,police_bharti
खालीलपैकी पहिली महिला महाराष्ट्र केसरीची मानकरी कोण?,वैष्णवी पाटील,अमृता पुजारी,प्रतिक्षा बागडी,गिता फोगाट,gk,police_bharti
ध्वनीची तीव्रता मोजण्याचे एकक कोणते?,सेल्सीयस,किलोवॅट,मायक्रोमिली,डेसीबल,science,police_bharti
द.सा.दे.शे. 8 दराने रूपये 5000 मुद्दलाबर 3 वर्षाचे चक्याड व्याज किती होईल?,1299.56,1298.56,1297.56,1296.56,math,police_bharti
"12,15,24 था संख्यांचा ल.सा.चि. किती?",121,120,122,123,math,police_bharti
"सुजला चार विषयात 90 पैकी अनुकमे 40,45,42 आणि 43 गुण मिळाले तर",त्याचे गुणांची टक्केवारी किती?,85,86 0०87,84,math,police_bharti
1/3 *1/247/12 < ?,11/12,9/12,13/12,17/12,gk,police_bharti
23 किलो गव्हाची किमत 400 रु. होते तर 39 किलो गव्हाची किंमत किती?,760,770,780,790,math,police_bharti
एका रकमेचे 2 वर्षांचे सरळ व्याज 640 रु. ब चक्रयाद व्याज 672 होते तर ती,महत केली,3300,3400,32003100,math,police_bharti
“आर्द्र” हया शब्दाचा समानाथी शब्द खालीलपैकी कोणता माही?,4“) ओला,दमट,आर्त,भिजलेला,marathi,police_bharti
“अंजली” या तत्सम शब्दाचा तद्‌भव शब्द कोणता ?,हात,कोपर,ऑजळ,दंड 9०६९7 ० 13 [७ - 5टभ01€0 एपी 01९६1 $टभाशा,marathi,police_bharti
“तु त्या राजपुत्राला वर”* या वाक्यातील वर हा शब्द ----- आहे ?,नाम,क्रियापद,शब्दयोगी अध्यय,केवलप्रयोगी अव्यय,marathi,police_bharti
पागोटे* या शब्दाचे लिंग कोणत?,परलिंगी,स्त्रीलिंगी,नपुमर््वसमी,यापैकी कोणीही नाही,marathi,police_bharti
उद्लारदाचक चिन्ह कद्रेणत्या गोष्टींचा निदेश करते?,पसत,दर्णन,भावना,कपशील,gk,police_bharti
'पेशदा” हा शब्द कोणत्या परकीय भाषेतून मराठीमध्ये प्रचलित झालेला आहे?,इंगजी,पोर्लुमीज,फारसी,अर्ची हळहूल 9 ल 13 (हँ 5त्वाहत रॉ 01(टाए इट्बश,marathi,police_bharti
जर शिक्षकदिन मंगळवारी आला असेल तर त्याच वर्षी गांधी जयंती कोणत्या दिवशी,येईल? 8”) बुधवार,मंगळवार,सोमवार,गुरुवार,gk,police_bharti
एक घडयाळ दर तासाला 30 सेकंद मागे पडते सकाळी 8 वाजता लावलेले घडयाळ,संध्याकाळी 8 वाजता किती वेळ दाखवेल? 5») 07:53,07:55,07:54,07:51,math,police_bharti
एका शाळेत मुले व मुली यांचे संख्यांचे गुणोत्तर 5:4 आहे तर पुढीलपैकी कोणती,संख्या ही वर्गसंख्या असणार नाही,423,531,585643,math,police_bharti
एक पेला व एका तांब्यात अनुक्रमे 165 व 210 मिली. पाणी भरले जाते. 15 लिटर,पाणी असलेल्या बादलीतून एक पेला व दोन तांबे पाणी काढल्यास बादलीत किती मिली लीटर पाणी राहिल?,14415,14615,1471514315,math,police_bharti
एका गटातील 15 मुलांची सरासरी वय 17.5 आहे त्या गटात आणखी एक मुलगा,आल्यास सर्वांच्या वर्यांची सरासरी 18 झाल्यास नविन मुलाचे वय काढा?,18.5,19.5,22.525.5 2७६८ 12 01 13 [७ - 5टभ01€0 एपी 01९६1 $टभाशा,math,police_bharti
6 मीटर्‌ लांब व 4 मीटर रूंद खोलीमध्ये 30 से.मी. लांब व 20 से.मी. रुंद,आकाराच्या किती फरश्या बसतील ?,100,200,300400,math,police_bharti
3 मुलाच्या वयाची सरासरी 20 वर्ष असून त्यांचे वयाचे गुणोत्तर 3:4:5 आहे तर,सर्वात मोठया मुलाचे वय किती ? 4») 23,24,25,26,math,police_bharti
३६ पासून ५० पर्यंतच्या संख्याची बेरीज ६१ पासून ८० पर्यतच्या संख्यांच्या बेरजेपेक्षा कितीने कमी,आहे?,६००,६२५,५७५,math,police_bharti
ताशी ६० किमी. वेगाने जाणाऱ्या ४८० मीटर लांबीच्या मालगाडीस ४२० मीटर लांबीचा बोगदा,ओलांडण्यास किती बेळ लागेल ? शै सेकंद सेकंद,५८ सेकंद,५४ सेकंद,१ मीनीट २ सेकंद५० सेकंद %. 1882८ 5 ०1 17,math,police_bharti
समान व्यासांच्या चार नळांनी एक पाण्याची टाकी १/४ तासात भरते. जर त्यापैकी एकाच वेळी तीन,नळ चालु केल्यास ती टाकी भरण्यास किती बेळ लागेल ?,१५ मिनीटे,२५ मिनीटे,२० मिनीटे१८ मिनीटे,math,police_bharti
एका वर्तुळाचा व्यास १४ से.मी. आहे. तर त्याचा परिघ किती,६६ से.मी.,से.मी.,२२ से.मी.,४४ से.मी.,gk,police_bharti
दोन संख्यांचे गुणोत्तर ५:११ आहे. व त्यांच्यातील फरक ९० आहे. तर त्यापैकी लहान संख्या कोणती?,५,१०८,१६५,"२ धु जर (2८ /> (१६१ / ११५), तर 2८ > किती ?",math,police_bharti
एका त्रिकोणाच्या बाह्यकोणांचे गुणोत्तर २:३:४ या प्रमाणात आहे. तर त्या त्रिकोणाच्या सर्वांत लहान,अंतर कोणाचे माप किती ?,२०२,३०९०,४०१६०१,math,police_bharti
३ व्यक्तींच्या वयाची सरासरी २८ आहे आणि त्यांची बये अनुक्रमे ३:४:७ या प्रमाणात आहेत. तर,सर्वात लहान व्यक्तीचे वय किती ?,६ वर्षे,१८ वर्षे,२४ वर्षे१२ वर्षे,math,police_bharti
"दिलेल्या नामाचा प्रकार पर्यायातुन निवडा. ""वात्सल्य""",सामान्य नाम,विशेष नाम,धातुसाधित नाम,भाववाचक नाम,marathi,police_bharti
उपपद 1) मध्यमपदलोपी,खालीलपैकी कोणत्या समासातील सामासिक शब्द हा तिसऱ्या पदाचे विशेषण आहे ?,बहुब्रीही,हंद,"अव्ययीभावतत्पुरुष ""बलाक माला उडता भासे कल्पसुमांची माळची ते."" या वाक्यातील अलंकार ओळखा ?",marathi,police_bharti
"""परटा, येशील कधी परतून ?"" या काव्यातून कोणता रस व्यक्त होतो ?",करुण,शांत,श्रृंगार,हास्य,marathi,police_bharti
'पक्षांचे ठसे' हा काव्यसंग्रह कोणाचा ?,सुधीर मोघे,इंदीरा संत,कवी ग्रेस,ना.धो. महानोर 1882८ 9 ०1 17,marathi,police_bharti
सायंकाळी ६.०० वाजता अमोल ग्रामपंचायतीत वसला होता. त्याच्या उजव्या बाजूच्या रै,खिडकोतून प्रकाश किरणे आत येत होती. अमोलचे तोंड कोणत्या दिशेस असेल ?,पश्‍चिम,उत्तर 0 पुर्व,दक्षिण,reasoning,police_bharti
एका सांकेतिक भाषेत !(1.)/1 हे १११२१३ असे लिहीतात. तर 070 हे कसे लिहीतात?,च १५१६१७,१८१९२०,१९२०२१,२२२३२४,reasoning,police_bharti
"अरबटचरबट, अबटचरबट, अटचरबट, अचरबट, ?",चरबट,अरबट,अचबट,अबटच,gk,police_bharti
वडिलांचे आजचे वय मुलाच्या आजच्या वयाच्या ४ पट आहे. आणखी चार वर्षांनी वडिलांचे बय,"मुलाच्या त्यावेळच्या वयाच्या तीन पट होईल, मुलाचे आजचे वय किती?",१० वर्षे,१२ वर्षे,वर्षे६ वर्षे,math,police_bharti
सीता व गीता यांच्या आजच्या वयाचे गुणोत्तर ६:५ आहे. दोन वर्षापुर्वी त्यांच्या वयाचे गुणोत्तर ५:४,"होते, तर सीताचे आजचे वय किती ?",१२ वर्षे,१४ वर्षे,६ वर्षे१५ वर्षे,math,police_bharti
घडयाळात ८ वाजून २० मिनीटे झाली असताना तास काटा व मिनीट काटा यांच्यात किती अंश मापाचा,कोन होतो ?,१२०१,१४०,१५०११३०९,reasoning,police_bharti
दुपारी १२ वाजलेपासून त्याच दिवशी सायंकाळी ६ वाजेपर्यंत मिनीट काटा व तास काटा यांच्यामध्ये,किती वेळा काटकोन होईल ?,१० बेळा,६ वेळा,१२ वेळा११ वेळा,reasoning,police_bharti
"दशारथचे वय सोहमच्या बयाच्या तिप्पट आहे. दोघांच्या वयातील फरक १६ वर्षे असल्यास, त्या दोघांच्या. ८ शः -",वयाची बेरीज किती ? धे कि ४ घी त > 4”) २४ वर्षे,३२ वर्षे,इन्वर्े,४८ वर्षे ण ट्र,math,police_bharti
पुरुष एकेरी ऑस्ट्रेलियन ओपन ग्रॅण्ड स्लॅम - २०२३ खालीलपैकी कोणी जिंकले ?,र,स्टेफानोस टी.,नोवोक जोकोविच,रॉजर फेडरर 1रफेल नदाल,gk,police_bharti
पहिली डार्क स्काय रिझर्व्ह म्हणुन भारतातली कोणत्या वाईल्ड लाईफ सँक्चुरीचा भाग घोषित करण्यात,आला?,चांगथांग वाईल्ड,चक्रशिला वाईल्ड,काराकोरम वाईल्डपोबीतोरा वाईल्ड लाईफ सँक्चुरी लाईफ सँक्चुरी लाईफ सँक्चुरी लाईफ सँक्वुरी,math,police_bharti
खालीलपैकी शुद्ध शब्द ओळखा.,40 प्रगतीशील,कोट्याधीश,अनुसया,"(झो) ग्रंथामध्ये इतरांनी मागाहून घातलेला मजकूर"" या अर्धाचा खालीलपैकी कोणता शब्द आहे ?",marathi,police_bharti
अयोग्य जोडी ओळखा.,"वेलींचा - कुंज, मडक्यांची - उतरंड, महिलांचे - मंडळ, माकडांचा - कळप 40 माकडांचा - कळप",महिलांचे - मंडळ ->€) मडक्‍्यांची - उतरंड,वेलींचा - कुंज (5 'अश्वत्थ' या शब्दासाठी समानार्थी शब्द कोणता आहे ?,वडउंबरपिंपळ ०७ कदंब,marathi,police_bharti
खालीलपैकी विसंगत पर्याय ओळखा.,"31-१८ 15 न 0*७ ९६4 «8 ९«0०(च्24 ०७ इ-&-०0-> ७ संख्यामालिका पूर्ण करा. - 3, 7, 16, 32, 57, 93, 142. ?",205,207 ० २06,यापैकी नाही,reasoning,police_bharti
रातांधळेपणा हा आजार खालीलपैकी कोणत्या जीवनसत्त्वांच्या अभावाने होतो !,जीवनसत्त्व 'अ,जीवनसत्त्व 'ब',जीवनसत्त्व 'क,जीवनसत्त्व षा,science,police_bharti
खालील वाक्याचा काळ ओळखा ?,“प्री रस्त्याने जात असेन”.,साधा भविष्यकाळ,अपुर्ण भविष्यकाळ,रिती भविष्यकाळपण पवाह,marathi,police_bharti
'भाकडकथा' या शब्दाचा योग्य अर्थ ओळखा ?,निरर्थक गोष्टी,भाषण चातुर्य,गप्पागोष्टी,जातककथा,marathi,police_bharti
अधोरेखीत शब्दाची विभक्ती ओळखा ?,कविताची बहिण हुशार आहे.,पंचमी छो षष्ठी,तृतीया,प्रथमा,marathi,police_bharti
खालीलपैकी शुध्द शब्द ओळखा ?,>,तात्पर्य,ताप्तर्य,तातपर्य॑तातप्रय (29. खालील शब्दाचा अर्थ सांगा ? जरबदशरधोकादृष्टनिर्विकार,marathi,police_bharti
संधी सोडवा ? अरुणाचल,अरु * आचल,-अरुण «* अचल,अरुणा * अचल,अरुणा * आचल,marathi,police_bharti
खालील वाक्यातील क्रियापदाचा प्रकार ओळखा ?,“मी सिनेमा पाहतो',सकर्मक,अकर्मक,प्रयोजकशक्‍य (32 खालीलपैकी शुध्द शब्द ओळखा ? (201र्भत्लनानिर्भत्ससानीर्भत्ससानिभत्सन्ना,marathi,police_bharti
'मराठी भाषा गौरव दिवस” खालीलपैकी कोणत्या साहित्यिकाच्या स्मृतीदिनी साजरा,. केला जातो ?,मंगेश पाडगावकर,कुसुमाग्रज,सुरेश भटबा.भ.बोरकर,math,police_bharti
महाराष्ट्राचे सध्याचे राज्यपाल कोण आहेत ?,"रमेश बैस,",रामनाथ कोविंद,भगतसिंह कोश्यारी,द्रौपदी मुर्मू,gk,police_bharti
महिला ॥१| 2023 खालीलपैकी कोणी जिंकली ?,मुंबई इंडियन,दिल्ली कॅपिटल्स,गुजरात जायंटूस॒,युपी वॉरीयर्स,gk,police_bharti
- 20 बैठकीचे या वर्षीचे घोषवाक्य काय आहे ?,मातृ देवो भव,सत्यमेव जयते (टा वसुधैव कुटुम्बकम,यापैकी नाही ज्र (10 चे सध्याचे अध्यक्ष कोण आहेत ? (&ोसिष्दार्थ मोहंती,एम.आर.कुमारमाधव कौशिकयापैकी नाही,gk,police_bharti
'कोसला' या प्रसिध्द कादंबरीचे लेखक कोण ?,नामदेव ढसाळ,भालचंद्र नेमाडे,बाबूराव बागूल,नरहर कुरूंदकर,marathi,police_bharti
'ग्रामगीता' कोणी लिहीली आहे ?,संत गाडगेबाबा,सत तुकडोजी महाराज,विनोबा भावे,लोकमान्य टिळक,marathi,police_bharti
भिन शब्द ओळखा ?,"आईस्कीम, बर्फ, पाणी, वाफ 20 आईस्कीम",बर्फ,पाणी,वाफ,marathi,police_bharti
मालिका पुर्ण करा. ?,"1215, 2430, 3645, 4860, रै",6861,1860 216075,4960,reasoning,police_bharti
गोो प्रकल्प यवतमाळ जिल्ह्यातील कोणत्या तालुक्यात आहे ?,दारव्हा,मारेगांव,महागांव,घाटंजी,gk,police_bharti
जनगणना 201 1 प्रमाणे यवतमाळ जिल्ह्याचे स्त्री-पुरुष प्रमाण किती आहे ?,(935,931,946,952,math,police_bharti
पुसद शहराचे प्राचान नाव कोणते होते?,पृष्पवती नगरी,पुसनगरी,पौषनगरी,पुष्पधरा,gk,police_bharti
अर्नाळा घुळे,>,कर्नाळा,सातारा [प,अजिंक्यतारापालघर,gk,police_bharti
5:50::9:7? पज,(अआ95,162,60,10012_,gk,police_bharti
0: ४84 2 एक: ? कि निते,होर,15,100,1. धा म च,gk,police_bharti
संदर्भ साहित्य : शब्दकोष :: नियतकालिक : ?,चरित्र,बतंमानपत्र,पुस्तक,नकाशासंप्रह ह... : 071. 13:41 1 12 4::-.:- «4... ऑल,marathi,police_bharti
बगळा घटक शोधा. ह,(अ लोखंड,अँल्युमिनिअय,ग्रॅफाईट,सोडिअम १ व व.पाटसाडअम,gk,police_bharti
"जर 989६1२ > 56, 9६३३९11. > 59 तर 7715 >?",73,74,75,76 25. व्यासपीठावर एाणाणएटाणारराकफकक्‍फकफकफऊऊक्‍कक्‍कक्‍कक्‍ कक क क्कककककककककककककक ोोितवितीती ति हर,gk,police_bharti
"/& आणि 9 हे दोघे भाऊ आहेत. (* आणि 13 बहिणी आहेत, / चा मुलगा 1) चा भाऊ आहे, तर 9 चे ( 28. पुसद शहराचे",बरोबर असलेले नाते काय?,पृष्पवती,बडोल,माऊआजोबाकाका 29. योग्य जोड्या ल,reasoning,police_bharti
२22 ते 32 पर्यंतच्या एकूण विषम संख्या किती?,15,14,18,30,math,police_bharti
"रामपास्त 101 पायऱ्या चढून एका देवालयात जातो, वर जाताना त्याने प्रत्येक पायरीजर ति९",क्रामांस्छाऐवढी फुले ठेवली तर त्यास एकूण किती फुले स!बत न्याबी लागतील ?,4.550,"5,550","5,151 त. क आ. 0, 102. 103: 100: <-.<-०----<----- * 200 यांची बेरीज किती ?1 5050 _150001605015025___",math,police_bharti
"जर (& आहे “भागाकार* आणि $ आहे 'गुणाकार', तर खालीलपैकी सर्वात मोठा पर्याय कोणता आहे ?",24 (2 5,1.58 2.5,29 ७ 4,3$2.5/ __,math,police_bharti
एका वर्गांत मुलींची संख्या मुलांच्या संख्येच्या तिप्पट आहे तर खालीलपैकी कोणती संख्या त्या वगांतील,एकूण पट दशंविणार नाही? बड न,35,35,40128 र त1285 डा उत 8. ३02९ 39 ६... क...> तुआ आ पट आ सा ना 6१35; कढ ३१ र ब एडहुट 0०. 8 0 किण भत 70,math,police_bharti
"“होळ चाके, श्प्रपोगी अख्यवषतून कोणता घाब व्यक्त होतो? र ह",तुच्छता,'तरस्तातर,आश्‍चचं,विरोध,marathi,police_bharti
"“निम आले, तर मी येईन."" या थाक्यातील अर्थ",द च,आज्ञाचं,तिप्यथी,संकेतार्थ (क आहाचतिप्ययीक...,marathi,police_bharti
शुच्दलेखनदृच्ट्या अचूक राळ मोडा प्रतिक्ल,एतीचुजन,प्रतीक,प्रतिकूल,प्रतिकुल च वि वा,science,police_bharti
"'डेळापुढे सत्तत जळणारा दिवा' य! शब्ःसमूहासाठी योग्य शब्द नियडा, जळ",सण हिला,नंदादोप,सई,"निरांजन ""स्स्स से",marathi,police_bharti
सुरेश्षला परीक्षेत 700 पैको 595 गुण मिळाले तर त्याला शेकडा किती गुण मिळाले ? ः,90%,70%,85% _,80% __,gk,police_bharti
हिराची दर महिन्याची बचत रु. 650 आहे. दरवर्षी 34% व्याज तिच्या खात्यावर जमा होते. तर प्रत्येक,महिन्याला किती व्याज मिळले ?,255 रु.,19.12 रु.,221 रु.405 रु.,math,police_bharti
चंद्रोदय' या शब्दाचा योग्य संधी विग्रह कोणता?,चंद्र ५ ओदय,चंद्र * उदय,चंद्रो - उदय,चंद्रो- दय____,marathi,police_bharti
पुढील नामाचा प्रकार ओळखा -- “चांगुलपणा”,विशेषनाम,सामान्यनाम,भाववाचकनाम,सर्वनाम,marathi,police_bharti
खाली दिलेल्या शब्दांपैकी *विशेषनाम' ओळखा.,भारत,गाय,वृक्ष,विद्यार्थी,marathi,police_bharti
खारट'* या शब्दाची जात कोणती?,सर्वनाम,विशेषण,क्रियापद,क्रियाविशेषण,marathi,police_bharti
खालीलपैकी योग्य *उद्‌गारवाचक' वाक्य ओळखा.,केवढा मोठा साप आहे,साप खूप मोठा आहे का?,केवढा मोठ्ठा साप आहे नाही !,अरे बापरे ! केवढा मोठ्ठा साप...!,marathi,police_bharti
मी ग्रंथ वाचत जाईन' या वाक्याचा काळ ओळखा.,रीतो भूतकाळ,रीती वर्तमानकाळ,रीती भविष्यकाळ,पूर्ण रोती भविष्यकाळ,marathi,police_bharti
खालीलपैकी कोणता शब्द तिन्ही लिंगांत सोयीस्करपणे वापरला जातो ?,बाग,मुंगूस,पोर,बेळ,marathi,police_bharti
त्याचा मोठा भाऊ गावी गेला. या वाक्याचा प्रकार ओळखा.,विधानार्थी,प्रशनार्थी,उद्‌गारार्थी,होकारार्थी पती म 3.8 २.42): 22334 23:,marathi,police_bharti
रहराष्ट्र पोलोस दलात रैझींग डे (ध्वजप्रदान दिन) म्हणून कोणता दिवस साजरा करण्यात येतो ?,2 जानेवारी ___,2 फेब्रुवारी,2 मार्च,2 एप्रिल,math,police_bharti
गरहाउंडस हे पोलोसांचे पथक कोणत्या कायांसाठी स्थापन केले आहे?,दहशतवाद विरोधी,नक्षल विरोधी,दंगा काबुसाठी,गुन्हे शोध कामासाठी,math,police_bharti
अहारष्ट्र राज्याच्या पोलीस ध्वजावर अभयनिदर्शक असेंकोणतेघत्रिआहे? राज्याच्या ध्वजावर असे गृ,(आ हाताचा पंजा,सिंहमुद्रा,चरखा,अशोक चक्र,gk,police_bharti
0015 हो कृती योजना कोणत्या रोगाशी संबंधीत आहे?,एड्स,रेबीज,क्षय,पोलीओ,science,police_bharti
चिकणगुणिया हा रोग ............. होतो.,विषाणूयासून _,जीवाणूपासून,कवकापासून _,प्रोटोझोआपासून,science,police_bharti
गंगापूर 1७) बुलढाणा प,"3-- आ, 0-२ 1-1 -","3-* 1४, ७-२ म शः ल कू","3- ॥॥,७-. चि, आ. 0-1","3-२, ७-०. 8 2:45 न्या",gk,police_bharti
